,,Timegap,X,Y,X-offset,Y-offset,Pupil Diameter Left (mm),Pupil Diameter Right (mm),Mouse X-coord,Mouse Y-coord,
,,13,1920,1290,0,0,4.6,4.37,2188,1230,
,,13,1920,1306,0,0,4.49,4.45,2188,1230,
,,14,1877,1326,0,0,4.55,4.35,2188,1230,
,,13,1887,1326,0,0,4.61,4.35,2188,1230,
,,13,1913,1369,0,0,4.55,4.46,2188,1230,
,,13,1943,1339,0,0,4.56,4.39,2188,1230,
,,14,1933,1339,0,0,4.57,4.42,2188,1230,
,,13,1900,1316,0,0,4.63,4.45,2188,1230,
,,13,1877,1339,0,0,4.62,4.44,2188,1230,
,,13,1920,1330,0,0,4.58,4.45,2188,1230,
,,13,1907,1343,0,0,4.62,4.41,2188,1230,
,,13,1890,1323,0,0,4.65,4.42,2188,1230,
,,13,1973,1346,0,0,4.62,4.41,2188,1230,
,,13,1897,1316,0,0,4.55,4.43,2188,1230,
,,13,1920,1330,0,0,4.6,4.39,2188,1230,
,,14,1887,1306,0,0,4.64,0,2188,1230,
,,13,1900,1323,0,0,4.56,4.39,2188,1230,
,,13,1926,1313,0,0,4.6,4.49,2188,1230,
,,13,1943,1412,0,0,4.62,0,2188,1230,
,,13,1933,1373,0,0,4.65,4.47,2188,1230,
,,13,1897,1326,0,0,4.61,4.37,2188,1230,
,,13,1943,1359,0,0,4.64,4.46,2188,1230,
,,13,1950,1286,0,0,4.63,4.43,2188,1230,
,,13,1923,1333,0,0,4.61,0,2188,1230,
,,14,1989,1300,0,0,4.53,4.41,2188,1230,
,,13,1913,1416,0,0,4.55,0,2188,1230,
,,13,1883,1343,0,0,4.52,4.47,2188,1230,
,,13,1953,1356,0,0,4.56,4.44,2188,1230,
,,13,1956,1393,0,0,4.56,4.39,2188,1230,
,,13,1903,1154,0,0,4.56,4.38,2188,1230,
,,14,1877,1396,0,0,4.58,4.39,2188,1230,
,,13,1900,1313,0,0,4.63,4.43,2188,1230,
,,13,1860,1323,0,0,4.62,4.38,2188,1230,
,,13,1893,1369,0,0,4.49,4.37,2188,1230,
,,14,1923,1290,0,0,4.56,4.39,2188,1230,
,,13,1926,1346,0,0,4.6,4.36,2188,1230,
,,14,1950,1293,0,0,4.59,4.47,2188,1230,
,,13,1923,1346,0,0,4.56,4.38,2188,1230,
,,14,1930,1316,0,0,4.6,0,2188,1230,
,,13,1956,1330,0,0,4.47,0,2188,1230,
,,13,1966,1237,0,0,4.49,0,2188,1230,
,,13,1960,1243,0,0,4.6,0,2188,1230,
,,13,1943,1300,0,0,4.54,4.31,2188,1230,
,,13,2003,1306,0,0,4.49,4.39,2188,1230,
,,13,1960,1253,0,0,4.51,4.32,2188,1230,
,,13,1966,1174,0,0,4.51,4.32,2188,1230,
,,13,1989,1276,0,0,4.49,4.29,2188,1230,
,,14,1986,1349,0,0,4.51,4.25,2188,1230,
,,13,1973,1323,0,0,4.48,0,2188,1230,
,,13,2042,1313,0,0,4.49,4.4,2188,1230,
,,13,2023,1330,0,0,4.57,4.31,2188,1230,
,,13,1986,1320,0,0,4.44,4.3,2188,1230,
,,13,2039,1283,0,0,4.49,0,2188,1230,
,,13,1973,1363,0,0,4.59,4.32,2188,1230,
,,13,1916,1339,0,0,4.5,4.29,2188,1230,
,,13,1976,1323,0,0,4.48,4.3,2188,1230,
,,27,1926,1330,0,0,4.51,4.29,2188,1230,
,,13,1996,1349,0,0,4.52,0,2188,1230,
,,13,1933,1502,0,0,4.63,4.31,2188,1230,
